,alpha
2014-09-03,130.0183336470865
2014-09-04,130.38568421038806
2014-09-05,129.745646738146
2014-09-08,128.30673237765643
2014-09-09,127.26723118129877
2014-09-10,127.20439185839699
2014-09-11,126.66467918282609
2014-09-12,125.07652127981805
2014-09-15,125.52839557795525
2014-09-16,128.49269647256148
2014-09-17,128.16309231417293
2014-09-18,128.23854200338215
2014-09-19,127.21835373545515
2014-09-22,125.40402598915013
2014-09-23,126.21697628506556
2014-09-24,125.48733168429187
2014-09-25,123.79340308485187
2014-09-26,122.14784944443106
2014-09-29,121.27979426225417
2014-09-30,119.52577968675341
2014-10-01,118.46146739033173
2014-10-02,119.90467252137717
2014-10-03,122.56608580345394
2014-10-06,122.5222465614312
2014-10-07,120.77683012403642
2014-10-08,120.63901244291
2014-10-09,116.16972911995263
2014-10-10,114.41193687952284
2014-10-13,111.21575989446072
2014-10-14,107.13798422148967
2014-10-15,110.3342272414884
2014-10-16,118.47001365722701
2014-10-17,119.18087462340787
2014-10-20,120.58386115229239
2014-10-21,118.29620247265953
2014-10-22,119.2023979599683
2014-10-23,119.10034282695828
2014-10-24,116.59169096366439
2014-10-27,115.2055507154017
2014-10-28,121.7415157682315
2014-10-29,119.98601643466725
2014-10-30,119.732896873134
2014-10-31,122.01037016342863
2014-11-03,122.37583172690283
2014-11-04,120.95198995508721
2014-11-05,120.04315013800054
2014-11-06,122.70639572850943
2014-11-07,124.38188156032807
2014-11-10,124.97364912119357
2014-11-11,125.43227898475354
2014-11-12,125.81603833824181
2014-11-13,125.74694997087532
2014-11-14,125.87660870239017
2014-11-17,125.68874480049789
2014-11-18,126.17973781638896
2014-11-19,126.93352600373927
2014-11-20,129.30093374796655
2014-11-21,129.54990937297103
2014-11-24,129.53821661555023
2014-11-25,132.19912306396924
2014-11-26,131.9068044451373
2014-11-28,128.32545668940833
2014-12-01,130.32596049862175
2014-12-02,130.22503972762695
2014-12-03,130.53567257992003
2014-12-04,130.85290825161263
2014-12-05,129.732884800091
2014-12-08,126.69007029570855
2014-12-09,126.67424716936324
2014-12-10,121.13443648489778
2014-12-11,118.31668065088097
2014-12-12,119.58174975128385
2014-12-15,113.92065117223528
2014-12-16,119.81895115121084
2014-12-17,127.2875611719782
2014-12-18,128.3170381540276
2014-12-19,129.68662766635563
2014-12-22,130.4610858435733
2014-12-23,130.93116754186985
2014-12-24,132.98846025104396
2014-12-26,132.3702565890515
2014-12-29,132.5356907992132
2014-12-30,131.81282146000927
2014-12-31,132.18862228439897
2015-01-02,128.86322793922693
2015-01-05,127.83832255652058
2015-01-06,126.969141567374
2015-01-07,126.15082139108857
2015-01-08,125.9813597262896
2015-01-09,123.92348102141395
2015-01-12,124.76651757322583
2015-01-13,123.36069132068587
2015-01-14,125.31513348703574
2015-01-15,121.98603548816368
2015-01-16,125.2556261126889
2015-01-20,124.97326966440225
2015-01-21,127.35509970945935
2015-01-22,131.6052395130397
2015-01-23,131.5107440631475
2015-01-26,132.4229502290146
2015-01-27,132.53626984065392
